index,source,target,protocol,count
575,10.59.174.29,outeral,http_proxy,2
575,10.59.212.44,outeral,http,4
575,internal,10.59.81.153,smb,1
575,10.59.174.29,10.59.174.170,http_proxy,3
575,10.59.174.245,10.59.174.143,http_proxy,1
575,10.59.174.224,internal,http_proxy,2
575,10.59.174.143,internal,http_proxy,1
575,internal,10.59.253.30,http,1
575,10.59.174.228,internal,http_proxy,2
575,10.59.126.205,outeral,http,1
575,10.59.174.62,10.59.174.170,http_proxy,1
575,10.59.174.194,internal,ssh,3
575,internal,10.59.253.157,smb,1
575,10.59.223.68,10.59.223.86,unknown,1
575,10.59.21.10,outeral,http,31
575,internal,10.59.240.194,http,1
575,10.59.212.142,outeral,http,180
575,10.59.174.187,outeral,http,3
575,10.59.253.121,10.59.20.51,ssl,1
575,10.59.174.170,internal,http_proxy,7
575,internal,10.59.253.58,ssl,7
575,10.59.45.245,internal,http,28
575,10.59.223.85,internal,unknown,4
575,10.59.223.85,internal,http,321
575,10.59.45.245,10.59.45.180,http_proxy,28
575,10.59.174.62,10.59.174.187,http_proxy,2
575,10.59.174.177,internal,http_proxy,3
575,internal,10.59.126.85,ftp_data,1
575,internal,10.59.126.85,ftp_control,1
575,internal,10.59.81.213,http,7
575,internal,10.59.223.31,http,8
575,10.59.126.113,outeral,http,1
575,10.59.216.210,internal,mysql,1
575,10.59.174.14,internal,http_proxy,3
575,10.59.174.245,10.59.174.187,http_proxy,4
575,10.59.174.29,internal,http_proxy,18
575,10.59.174.29,10.59.174.187,http_proxy,1
575,10.59.174.45,internal,http_proxy,7
575,10.59.174.123,internal,http_proxy,4
576,10.59.229.220,outeral,http,1
576,10.59.212.2,10.59.36.34,http,6
576,10.59.231.170,outeral,http,1
576,internal,10.59.81.227,ssl,6
576,internal,10.59.81.227,http,1
576,internal,10.59.81.227,unknown,1
576,10.59.223.66,internal,http,20
576,10.59.253.157,10.59.20.39,http,2
576,10.59.174.16,internal,http_proxy,27
576,10.59.36.66,outeral,http,2
576,10.59.174.245,10.59.174.170,http_proxy,22
576,10.59.126.129,outeral,http,2
576,10.59.223.247,10.59.223.86,unknown,2
576,10.59.174.2,internal,http_proxy,18
576,internal,10.59.46.82,telnet,1
576,internal,10.59.216.254,unknown,8
576,internal,10.59.216.254,dce_rpc,1
576,internal,10.59.216.254,kerberos,1
576,internal,10.59.216.254,ldap,1
576,10.59.137.72,internal,http,211
576,10.59.126.124,outeral,http,2
576,10.59.45.5,10.59.45.122,mysql,1
576,10.59.212.181,outeral,http,376
576,10.59.223.128,outeral,http,2
576,10.59.174.13,internal,http_proxy,20
576,10.59.126.45,outeral,http,5
576,10.59.212.2,10.59.223.28,http,19
576,internal,10.59.253.58,ssl,67
576,10.59.45.43,10.59.207.218,http,44
576,10.59.212.121,10.59.216.233,http,1
576,10.59.174.220,internal,http_proxy,34
576,10.59.137.78,internal,mysql,26
576,10.59.212.142,outeral,http,504
576,10.59.223.66,outeral,http,147
576,10.59.174.157,internal,http_proxy,14
576,10.59.126.7,10.59.126.90,mysql,16
576,10.59.36.162,outeral,http,3
576,10.59.223.186,10.59.137.117,mysql,1
576,10.59.216.254,internal,unknown,1
576,10.59.216.204,outeral,ssl,1
576,10.59.215.120,internal,mysql,1
576,10.59.45.139,internal,ssh,1
576,10.59.253.121,10.59.20.14,http,1
576,10.59.126.152,outeral,http,5
576,10.59.126.247,outeral,http,2
576,10.59.45.221,outeral,http_proxy,19
576,10.59.174.81,10.59.174.143,http_proxy,13
576,10.59.174.4,internal,http_proxy,26
576,10.59.137.78,outeral,http,1
576,10.59.223.252,internal,ssh,1
576,10.59.216.130,10.59.216.15,ssl,1
576,10.59.253.10,outeral,ssl,1
576,10.59.253.10,outeral,http,40
576,10.59.253.10,outeral,unknown,1
576,10.59.216.139,10.59.216.184,http,1
576,10.59.212.181,internal,http,10
576,10.59.174.201,internal,http_proxy,17
576,10.59.212.201,10.59.34.15,ftp_control,63
576,10.59.174.227,internal,http_proxy,18
576,10.59.146.4,outeral,unknown,1
576,10.59.146.4,outeral,http,1
576,10.59.212.121,10.59.216.48,http,2
576,10.59.212.121,10.59.45.122,http,1
576,10.59.36.246,10.59.216.81,ssl,1
576,10.59.22.149,outeral,whois-das,5
576,10.59.207.220,internal,unknown,3
576,10.59.212.121,10.59.43.39,http,1
576,10.59.174.29,10.59.174.143,http_proxy,15
576,10.59.212.121,10.59.126.7,http,48
576,10.59.174.187,internal,http_proxy,12
576,10.59.174.62,10.59.174.143,http_proxy,12
576,10.59.43.118,outeral,unknown,2
576,10.59.43.118,outeral,http,30
576,10.59.179.30,outeral,http,2
576,10.59.212.121,10.59.223.66,http,330
576,10.59.212.16,outeral,http,26
576,internal,10.59.126.199,http,10
576,10.59.174.62,internal,http_proxy,151
576,internal,10.59.223.31,http,104
576,10.59.231.201,internal,unknown,39
576,10.59.231.201,internal,http,116
576,10.59.45.166,10.59.45.122,http,1
576,10.59.45.166,10.59.45.122,mysql,1
576,10.59.253.157,10.59.20.92,http,1
576,10.59.174.126,internal,http_proxy,14
576,10.59.174.118,internal,http_proxy,21
576,10.59.174.81,internal,http_proxy,114
576,10.59.253.121,10.59.20.74,http,1
576,10.59.212.121,10.59.181.51,http,20
576,10.59.212.2,10.59.253.58,http,29
576,10.59.212.201,10.59.22.82,ftp_control,207
576,10.59.174.110,internal,http_proxy,19
576,10.59.223.85,internal,unknown,23
576,10.59.223.85,internal,http,432
576,10.59.34.123,10.59.88.121,ssl,3
576,10.59.174.115,internal,http_proxy,24
576,10.59.255.220,internal,mysql,2
576,10.59.216.8,internal,mysql,1
576,10.59.126.194,outeral,http,1
576,10.59.212.121,outeral,http,3
576,10.59.223.66,10.59.223.26,unknown,32
576,10.59.223.66,10.59.223.26,http,542
576,internal,10.59.253.170,http_proxy,11
576,10.59.137.151,internal,http,3
576,10.59.137.151,internal,ssh,3
576,10.59.174.121,internal,http_proxy,18
576,10.59.21.10,internal,http,85
576,10.59.253.157,10.59.20.136,ssl,1
576,10.59.231.201,outeral,unknown,6
576,10.59.231.201,outeral,http,39
576,10.59.174.75,internal,http_proxy,12
576,10.59.126.122,outeral,http,14
576,10.59.212.2,10.59.45.122,http,203
576,10.59.36.81,outeral,http,2
576,10.59.22.124,outeral,http,1
576,internal,10.59.253.48,http,13
576,10.59.146.157,internal,http_proxy,14
576,10.59.174.245,internal,http_proxy,144
576,10.59.174.29,outeral,http_proxy,18
576,10.59.212.44,outeral,http,31
576,10.59.223.116,internal,ssh,2
576,10.59.81.81,internal,smb,1
576,internal,10.59.81.153,smb,3
576,10.59.174.29,10.59.174.170,http_proxy,38
576,10.59.174.245,10.59.174.143,http_proxy,15
576,10.59.174.224,internal,http_proxy,17
576,10.59.253.10,internal,ssl,2
576,10.59.253.10,internal,http,2
576,10.59.253.10,internal,unknown,1
576,10.59.137.187,10.59.223.66,http,4
576,10.59.137.187,10.59.223.66,mysql,2
576,10.59.181.107,outeral,http,3
576,10.59.126.184,outeral,http,1
576,internal,10.59.253.30,http,10
576,10.59.174.228,internal,http_proxy,16
576,10.59.212.121,10.59.216.166,http,2
576,10.59.126.205,outeral,http,2
576,10.59.45.245,outeral,http,1
576,10.59.174.62,10.59.174.170,http_proxy,20
576,10.59.174.194,internal,ssh,7
576,10.59.45.98,10.59.207.218,mysql,1
576,10.59.137.131,internal,ssh,3
576,10.59.212.121,10.59.180.131,http,3
576,10.59.137.72,10.59.223.116,http,2
576,10.59.216.72,10.59.216.145,http,1
576,10.59.126.149,outeral,http,1
576,10.59.126.110,outeral,http,3
576,10.59.181.79,10.59.180.205,ssh,1
576,10.59.126.82,outeral,http,1
576,internal,10.59.253.157,dce_rpc,2
576,internal,10.59.253.157,smb,14
576,10.59.174.218,internal,http_proxy,23
576,10.59.212.16,internal,http,56
576,10.59.21.10,outeral,ssl,1
576,10.59.21.10,outeral,http,241
576,10.59.216.202,outeral,ssl,1
576,10.59.174.143,internal,http_proxy,17
576,10.59.253.157,10.59.20.203,ssl,1
576,10.59.253.157,10.59.20.203,http,2
576,10.59.174.187,outeral,http,10
576,10.59.126.118,outeral,ssl,1
576,10.59.126.118,outeral,http,5
576,10.59.174.170,internal,http_proxy,21
576,10.59.126.4,outeral,http,2
576,10.59.253.157,10.59.20.191,ssl,3
576,10.59.45.245,internal,http,360
576,10.59.45.122,internal,http,173
576,10.59.231.16,outeral,unknown,1
576,10.59.212.121,10.59.253.187,http,1
576,10.59.45.245,10.59.45.180,http_proxy,239
576,10.59.174.62,10.59.174.187,http_proxy,26
576,10.59.174.177,internal,http_proxy,20
576,internal,10.59.126.85,ftp_data,14
576,internal,10.59.126.85,ftp_control,22
576,internal,10.59.81.213,http,49
576,10.59.137.92,internal,ssh,1
576,internal,10.59.148.126,ssl,2
576,10.59.181.77,outeral,http,1
576,10.59.253.121,10.59.20.39,http,1
576,10.59.174.14,internal,http_proxy,17
576,10.59.174.245,10.59.174.187,http_proxy,56
576,10.59.174.29,internal,http_proxy,121
576,10.59.126.174,outeral,http,2
576,10.59.207.218,10.59.58.228,ssl,1
576,10.59.137.72,10.59.137.255,mysql,1
576,10.59.212.121,10.59.223.59,http,5
576,10.59.223.26,10.59.223.66,http,1
576,10.59.174.29,10.59.174.187,http_proxy,73
576,10.59.212.121,10.59.216.204,http,2
576,10.59.174.45,internal,http_proxy,17
576,10.59.180.88,10.59.174.152,mysql,1
576,10.59.212.201,outeral,http,7
576,10.59.174.123,internal,http_proxy,24
576,10.59.216.255,internal,unknown,1
576,10.59.207.13,internal,http,1
576,10.59.223.223,10.59.223.142,http,1
576,10.59.253.121,10.59.20.51,http,1
576,10.59.45.65,10.59.58.228,ssl,3
576,internal,10.59.223.128,http,1
577,10.59.231.201,outeral,unknown,9
577,10.59.231.201,outeral,http,19
577,internal,10.59.81.227,ssl,5
577,internal,10.59.81.227,http,3
577,10.59.223.66,internal,http,21
577,10.59.212.2,10.59.36.34,http,15
577,10.59.212.121,10.59.181.107,http,4
577,10.59.174.16,internal,http_proxy,24
577,10.59.36.66,outeral,http,3
577,10.59.174.245,10.59.174.170,http_proxy,27
577,10.59.126.30,outeral,http,1
577,10.59.126.129,outeral,unknown,1
577,10.59.126.129,outeral,http,1
577,10.59.174.2,internal,http_proxy,25
577,internal,10.59.216.254,unknown,3
577,internal,10.59.216.254,dce_rpc,1
577,internal,10.59.216.254,smb,3
577,internal,10.59.216.254,dns,1
577,10.59.181.30,outeral,http,2
577,10.59.137.72,internal,http,223
577,10.59.126.124,outeral,unknown,1
577,10.59.126.124,outeral,http,6
577,10.59.212.181,outeral,http,1117
577,10.59.212.121,10.59.181.8,http,2
577,10.59.174.13,internal,http_proxy,19
577,10.59.45.43,10.59.207.218,http,49
577,10.59.216.239,outeral,ssl,1
577,10.59.174.220,internal,http_proxy,25
577,10.59.137.78,internal,mysql,21
577,10.59.212.142,outeral,http,874
577,10.59.223.66,outeral,http,2
577,10.59.174.157,internal,http_proxy,19
577,internal,10.59.253.48,http,12
577,10.59.137.131,internal,ssh,1
577,10.59.216.204,outeral,ssl,1
577,10.59.216.48,outeral,ssl,1
577,10.59.126.187,outeral,http,1
577,10.59.253.121,10.59.20.14,ssl,1
577,10.59.126.152,outeral,http,1
577,10.59.45.221,outeral,http_proxy,11
577,10.59.174.81,10.59.174.143,http_proxy,13
577,10.59.174.4,internal,http_proxy,18
577,10.59.181.185,10.59.253.170,unknown,2
577,10.59.253.10,outeral,unknown,1
577,10.59.253.10,outeral,http,34
577,10.59.174.201,internal,http_proxy,22
577,10.59.212.201,10.59.34.15,unknown,1
577,10.59.212.201,10.59.34.15,ftp_control,53
577,10.59.174.227,internal,http_proxy,23
577,10.59.21.10,internal,http,341
577,10.59.216.172,internal,unknown,1
577,10.59.216.147,internal,mysql,1
577,10.59.253.121,10.59.20.191,ssl,1
577,10.59.253.121,10.59.20.191,http,1
577,10.59.223.31,internal,mysql,1
577,10.59.22.149,outeral,ssl,1
577,10.59.22.149,outeral,whois-das,2
577,10.59.216.225,outeral,unknown,1
577,10.59.207.220,internal,unknown,1
577,10.59.21.10,10.59.174.29,http,1
577,10.59.174.29,10.59.174.143,http_proxy,12
577,10.59.174.187,internal,http_proxy,20
577,10.59.253.157,10.59.20.14,ssl,1
577,10.59.174.62,10.59.174.143,http_proxy,8
577,10.59.43.118,outeral,unknown,4
577,10.59.43.118,outeral,http,23
577,10.59.126.171,outeral,unknown,1
577,10.59.126.171,outeral,http,8
577,10.59.179.30,outeral,http,1
577,10.59.212.121,10.59.223.66,http,9
577,10.59.212.16,outeral,http,32
577,internal,10.59.126.199,http,3
577,10.59.174.62,internal,http_proxy,138
577,internal,10.59.148.126,ssl,1
577,10.59.231.201,internal,unknown,45
577,10.59.231.201,internal,http,58
577,10.59.231.201,internal,smb,1
577,10.59.45.166,10.59.45.122,mysql,2
577,10.59.179.124,outeral,unknown,2
577,10.59.179.124,outeral,ssh,3
577,10.59.181.62,outeral,http,1
577,10.59.174.126,internal,http_proxy,23
577,10.59.174.118,internal,http_proxy,24
577,10.59.36.142,10.59.231.4,ssl,2
577,10.59.174.81,internal,http_proxy,161
577,10.59.216.92,internal,mysql,1
577,10.59.253.121,10.59.20.74,ssl,1
577,10.59.212.201,10.59.22.82,ftp_control,169
577,10.59.174.110,internal,http_proxy,22
577,10.59.223.85,internal,unknown,17
577,10.59.223.85,internal,http,436
577,10.59.34.123,10.59.88.121,ssl,4
577,10.59.34.123,10.59.88.121,whois-das,1
577,10.59.174.115,internal,http_proxy,17
577,10.59.81.143,internal,telnet,1
577,10.59.253.121,10.59.20.203,http,1
577,10.59.216.173,outeral,ssl,1
577,10.59.126.45,outeral,unknown,1
577,10.59.126.45,outeral,http,6
577,10.59.126.194,outeral,http,2
577,10.59.223.137,internal,unknown,1
577,10.59.212.121,outeral,http,1
577,10.59.223.66,10.59.223.26,unknown,9
577,10.59.223.66,10.59.223.26,http,43
577,internal,10.59.253.170,http_proxy,20
577,internal,10.59.253.170,http_connect,2
577,internal,10.59.253.58,ssl,67
577,internal,10.59.253.58,unknown,3
577,10.59.174.121,internal,http_proxy,17
577,10.59.126.143,outeral,unknown,1
577,10.59.126.143,outeral,http,4
577,10.59.174.218,internal,http_proxy,32
577,10.59.174.75,internal,http_proxy,13
577,10.59.126.122,outeral,unknown,1
577,10.59.126.122,outeral,http,9
577,10.59.212.2,10.59.45.122,http,248
577,10.59.36.81,outeral,http,1
577,10.59.231.201,10.59.229.220,http,41
577,10.59.146.157,internal,http_proxy,16
577,10.59.174.245,internal,unknown,1
577,10.59.174.245,internal,http_proxy,135
577,10.59.174.29,outeral,http_proxy,17
577,10.59.212.44,outeral,http,43
577,10.59.223.133,outeral,http,1
577,10.59.253.157,10.59.20.74,ssl,1
577,internal,10.59.81.153,smb,2
577,10.59.212.2,10.59.223.66,http,15
577,10.59.174.29,10.59.174.170,http_proxy,34
577,10.59.174.245,10.59.174.143,http_proxy,11
577,10.59.174.224,internal,http_proxy,20
577,10.59.253.10,internal,ssl,11
577,10.59.253.10,internal,http,12
577,10.59.253.10,internal,unknown,15
577,10.59.212.121,10.59.181.242,http,1
577,10.59.137.187,10.59.223.66,http,1
577,10.59.137.187,10.59.223.66,mysql,2
577,10.59.174.143,internal,http_proxy,21
577,10.59.126.184,outeral,unknown,1
577,10.59.126.184,outeral,http,4
577,10.59.255.220,internal,mysql,2
577,internal,10.59.253.30,http,5
577,10.59.174.228,internal,http_proxy,21
577,10.59.126.205,outeral,http,11
577,10.59.45.245,outeral,http,1
577,10.59.181.106,outeral,unknown,1
577,10.59.174.62,10.59.174.170,http_proxy,23
577,10.59.174.194,internal,ssh,6
577,10.59.216.119,outeral,ssl,1
577,10.59.56.61,outeral,unknown,1
577,10.59.126.247,outeral,unknown,2
577,10.59.126.247,outeral,http,2
577,10.59.126.149,outeral,unknown,1
577,10.59.126.149,outeral,http,4
577,10.59.126.110,outeral,unknown,1
577,10.59.126.110,outeral,http,3
577,10.59.126.82,outeral,unknown,2
577,10.59.126.82,outeral,http,12
577,10.59.126.125,outeral,unknown,1
577,10.59.126.125,outeral,http,3
577,internal,10.59.253.157,dce_rpc,7
577,internal,10.59.253.157,smb,12
577,10.59.21.10,10.59.174.62,http,2
577,10.59.212.16,internal,http,52
577,10.59.21.10,outeral,http,396
577,10.59.216.92,10.59.216.184,http,1
577,10.59.146.4,10.59.36.27,http,1
577,10.59.253.157,10.59.20.51,ssl,1
577,10.59.253.157,10.59.20.51,http,1
577,10.59.212.121,10.59.223.172,http,2
577,10.59.223.85,10.59.137.214,unknown,1
577,10.59.216.8,outeral,ssl,1
577,10.59.174.187,outeral,http,12
577,10.59.126.118,outeral,http,13
577,10.59.174.170,internal,http_proxy,20
577,10.59.212.2,10.59.216.233,http,1
577,10.59.126.4,outeral,http,2
577,10.59.137.151,internal,http,7
577,10.59.45.245,internal,http,267
577,10.59.45.122,internal,http,3
577,10.59.45.245,10.59.45.180,http_proxy,227
577,10.59.45.245,10.59.45.180,http_connect,3
577,10.59.174.62,10.59.174.187,http_proxy,34
577,10.59.174.177,internal,http_proxy,21
577,internal,10.59.126.85,ftp_data,16
577,internal,10.59.126.85,ftp_control,22
577,internal,10.59.81.213,http,49
577,10.59.137.92,internal,ssh,21
577,internal,10.59.223.31,http,117
577,10.59.253.121,10.59.20.39,smb,1
577,10.59.126.113,outeral,http,1
577,10.59.174.14,internal,http_proxy,22
577,10.59.174.245,10.59.174.187,http_proxy,45
577,10.59.174.29,internal,http_proxy,142
577,10.59.174.29,internal,ssh,1
577,10.59.126.174,outeral,unknown,1
577,10.59.126.174,outeral,http,4
577,10.59.207.218,10.59.58.228,ssl,1
577,10.59.212.121,10.59.137.72,http,5
577,10.59.137.72,10.59.137.255,mysql,1
577,10.59.223.26,10.59.223.66,http,1
577,10.59.174.29,10.59.174.187,http_proxy,53
577,10.59.179.124,internal,ssh,1
577,10.59.212.121,10.59.24.253,http,1
577,10.59.174.45,internal,http_proxy,21
577,10.59.181.227,outeral,http,1
577,10.59.21.10,10.59.174.245,http,1
577,10.59.212.201,outeral,http,2
577,10.59.174.123,internal,http_proxy,21
577,10.59.216.255,internal,mysql,1
577,10.59.253.121,10.59.20.51,ssl,2
577,10.59.253.121,10.59.20.51,http,2
577,10.59.45.65,10.59.58.228,ssl,1
578,10.59.174.218,internal,http_proxy,30
578,internal,10.59.81.227,ssl,7
578,10.59.223.66,internal,http,15
578,10.59.137.187,10.59.223.26,unknown,1
578,10.59.137.187,10.59.223.26,http,7
578,10.59.253.157,10.59.20.39,http,1
578,10.59.216.85,internal,mysql,1
578,10.59.174.16,internal,http_proxy,29
578,10.59.36.66,outeral,http,3
578,10.59.174.245,10.59.174.170,http_proxy,40
578,10.59.126.30,outeral,http,9
578,10.59.174.2,internal,http_proxy,23
578,10.59.137.187,outeral,unknown,136
578,10.59.137.187,outeral,http,3
578,internal,10.59.216.254,unknown,1
578,internal,10.59.216.254,dce_rpc,2
578,internal,10.59.216.254,smb,2
578,internal,10.59.216.254,ldap,1
578,10.59.181.30,outeral,http,1
578,10.59.137.72,internal,http,174
578,10.59.231.201,10.59.207.218,http,12
578,10.59.126.124,outeral,http,16
578,10.59.126.152,outeral,unknown,1
578,10.59.126.152,outeral,http,2
578,10.59.212.181,outeral,http,266
578,10.59.174.13,internal,http_proxy,20
578,10.59.36.97,internal,telnet,1
578,10.59.216.234,internal,unknown,1
578,10.59.216.167,outeral,ssl,1
578,10.59.45.43,10.59.207.218,http,49
578,10.59.174.220,internal,http_proxy,23
578,10.59.137.78,internal,mysql,20
578,10.59.137.140,outeral,http,1
578,10.59.223.85,internal,unknown,20
578,10.59.223.85,internal,http,426
578,10.59.216.128,internal,unknown,1
578,10.59.174.157,internal,http_proxy,19
578,10.59.212.121,10.59.146.4,http,1
578,10.59.36.162,outeral,http,2
578,10.59.223.186,10.59.137.117,mysql,3
578,10.59.126.171,outeral,http,2
578,10.59.174.115,internal,http_proxy,15
578,10.59.216.48,outeral,ssl,1
578,10.59.137.14,outeral,http,1
578,10.59.36.96,10.59.81.157,ssl,1
578,10.59.253.121,10.59.20.14,http,1
578,10.59.45.5,10.59.45.122,mysql,2
578,10.59.45.221,outeral,http_proxy,26
578,10.59.231.213,outeral,ssl,1
578,10.59.174.81,10.59.174.143,http_proxy,9
578,10.59.174.4,internal,http_proxy,23
578,10.59.181.185,10.59.253.170,unknown,1
578,10.59.181.185,10.59.253.170,http_proxy,1
578,10.59.216.130,10.59.216.15,ssl,1
578,10.59.253.10,outeral,http,51
578,10.59.174.201,internal,http_proxy,20
578,10.59.212.201,10.59.34.15,ftp_control,55
578,10.59.174.227,internal,http_proxy,22
578,10.59.21.10,internal,unknown,1
578,10.59.21.10,internal,http,532
578,10.59.21.10,internal,ssl,5
578,10.59.216.147,internal,mysql,1
578,10.59.253.121,10.59.20.191,ssl,1
578,10.59.22.149,outeral,whois-das,5
578,10.59.174.29,10.59.174.143,http_proxy,9
578,10.59.216.204,internal,mysql,1
578,10.59.174.187,internal,http_proxy,25
578,10.59.174.62,10.59.174.143,http_proxy,7
578,10.59.43.118,outeral,unknown,10
578,10.59.43.118,outeral,http,29
578,internal,10.59.45.217,unknown,1
578,10.59.223.147,outeral,http,1
578,10.59.253.121,10.59.20.92,ssl,3
578,10.59.253.121,10.59.20.92,smb,1
578,10.59.212.16,outeral,http,33
578,internal,10.59.126.199,http,12
578,10.59.174.62,internal,http_proxy,136
578,internal,10.59.223.31,http,121
578,10.59.231.201,internal,ssl,1
578,10.59.231.201,internal,http,60
578,10.59.231.201,internal,unknown,24
578,10.59.253.157,10.59.20.191,http,2
578,10.59.253.157,10.59.20.92,http,1
578,10.59.253.157,10.59.20.92,smb,1
578,10.59.179.124,outeral,unknown,3
578,10.59.174.126,internal,http_proxy,27
578,10.59.223.159,10.59.223.203,http,1
578,10.59.174.118,internal,http_proxy,14
578,10.59.174.81,internal,http_proxy,130
578,10.59.253.121,10.59.20.136,http,1
578,10.59.212.201,10.59.22.82,ftp_control,212
578,10.59.174.110,internal,http_proxy,15
578,10.59.34.123,10.59.88.121,ssl,2
578,10.59.253.10,internal,ssl,7
578,10.59.253.10,internal,http,12
578,10.59.253.10,internal,unknown,14
578,10.59.255.220,internal,mysql,1
578,10.59.212.121,10.59.126.42,http,2
578,10.59.126.45,outeral,http,2
578,10.59.126.194,outeral,unknown,2
578,10.59.126.194,outeral,http,7
578,10.59.212.121,outeral,http,1
578,10.59.223.66,10.59.223.26,unknown,14
578,10.59.223.66,10.59.223.26,http,44
578,internal,10.59.253.170,http_proxy,12
578,internal,10.59.253.170,http_connect,2
578,internal,10.59.253.58,ssl,63
578,10.59.174.245,10.59.174.143,http_proxy,14
578,10.59.174.121,internal,http_proxy,25
578,10.59.126.143,outeral,unknown,1
578,10.59.126.143,outeral,http,5
578,10.59.231.201,outeral,unknown,9
578,10.59.231.201,outeral,http,46
578,10.59.174.75,internal,http_proxy,19
578,10.59.126.122,outeral,unknown,2
578,10.59.126.122,outeral,http,7
578,10.59.126.122,outeral,ssl,1
578,10.59.212.2,10.59.45.122,unknown,2
578,10.59.212.2,10.59.45.122,http,199
578,10.59.36.81,outeral,http,1
578,internal,10.59.253.48,http,10
578,10.59.146.157,internal,http_proxy,10
578,10.59.174.245,internal,http_proxy,115
578,10.59.174.29,outeral,http_proxy,16
578,10.59.212.44,outeral,http,45
578,10.59.81.81,internal,unknown,1
578,internal,10.59.81.153,smb,4
578,10.59.212.2,10.59.223.66,http,16
578,10.59.174.29,10.59.174.170,http_proxy,36
578,10.59.212.2,10.59.223.68,http,12
578,10.59.174.224,internal,http_proxy,18
578,10.59.216.72,outeral,ssl,1
578,10.59.216.210,10.59.216.145,http,1
578,10.59.36.246,10.59.216.220,ssl,1
578,10.59.137.187,10.59.223.66,http,1
578,10.59.137.187,10.59.223.66,mysql,7
578,10.59.174.143,internal,http_proxy,21
578,10.59.126.184,outeral,unknown,3
578,10.59.126.184,outeral,http,5
578,internal,10.59.253.30,http,7
578,10.59.174.228,internal,http_proxy,22
578,10.59.212.2,10.59.181.51,http,2
578,10.59.126.205,outeral,http,4
578,10.59.174.62,10.59.174.170,http_proxy,23
578,10.59.174.194,internal,ssh,8
578,10.59.45.98,10.59.207.218,mysql,2
578,10.59.126.247,outeral,unknown,1
578,10.59.126.247,outeral,http,7
578,10.59.126.149,outeral,unknown,1
578,10.59.126.110,outeral,http,2
578,10.59.126.82,outeral,unknown,1
578,10.59.126.82,outeral,http,4
578,internal,10.59.253.157,dce_rpc,3
578,internal,10.59.253.157,smb,12
578,10.59.216.202,internal,unknown,1
578,10.59.212.16,internal,http,36
578,10.59.21.10,outeral,unknown,1
578,10.59.21.10,outeral,http,191
578,10.59.180.187,outeral,http,1
578,10.59.223.85,10.59.137.214,unknown,1
578,10.59.212.142,outeral,http,259
578,10.59.174.187,outeral,http,13
578,10.59.166.228,outeral,http,1
578,10.59.253.121,10.59.20.51,http,1
578,10.59.174.170,internal,http_proxy,24
578,10.59.126.4,outeral,http,5
578,10.59.181.247,outeral,http,1
578,10.59.137.151,internal,http,7
